rx,tx
4124,9
4867,9
4351,7
4421,8
4664,5
4401,6
4307,8
4791,7
4566,6
4553,7
4688,8
4497,6
4631,7
4222,6
4375,6
4895,8
4573,7
4691,6
4585,7
5121,6
9544,49
8922,48
9211,48
9021,50
9079,50
9063,49
8993,49
9394,50
7820,47
7882,47
8553,51
7984,48
8872,50
9120,49
9233,50
8941,51
8716,50
8802,50
