rx,tx
4124,9
4867,9
4351,7
4421,8
4664,5
4401,6
4307,8
4791,7
4566,6
4553,7
4782,8
4363,7
9544,49
8922,48
9211,48
9021,50
9079,50
9063,49
8993,49
9394,50
7820,47
8655,48
8524,52
8247,50
14847,117
13538,112
13221,108
13240,110
13784,108
15634,115
13485,61
13876,46
14742,72
14923,70
13877,65
14287,63
14630,54
13987,60
